Designator,Mid X,Mid Y,Rotation,Layer,,
BOOTSEL2,207.22631,-460.034422,195,bottom,,
C8,164.6,-437.4,180,bottom,,
C18,160.65,-441.665,90,bottom,,
C19,165.535,-456,0,bottom,,
C20,167.585,-458.45,180,bottom,,
C21,182.935,-455.15,0,bottom,,
C22,182.935,-456.2,0,bottom,,
C23,171,-464.335,270,bottom,,
C24,167.515,-460.45,180,bottom,,
C25,167.5,-461.9,180,bottom,,
C26,167.585,-457.45,180,bottom,,
C27,170.25,-451.615,90,bottom,,
C28,180.885,-458.25,0,bottom,,
C29,180.885,-457.225,0,bottom,,
C31,176.488,-464.315,270,bottom,,
C32,175.65,-451.465,90,bottom,,
F2,171.75,-400.5,90,bottom,,
IC3,174.4,-457,270,bottom,,
IC4,163,-461.7,90,bottom,,
J37,168.51,-393.34,0,bottom,,
R5,160.6,-444.885,90,bottom,,
R10,161.485,-393.7,180,bottom,,
R11,161.485,-392.6,0,bottom,,
R12,167.535,-463.95,180,bottom,,
R13,167.515,-462.95,0,bottom,,
R14,171.75,-446,90,bottom,,
R15,170.7,-446.015,90,bottom,,
R16,180.885,-456.2,0,bottom,,
RUN2,200.17631,-461.934422,195,bottom,,
U2,165,-443,270,bottom,,
Y2,186.7,-456.65,90,bottom,,
